en,cn,isreal,e.g.
a,形容词,1,高 明 尖 诚 粗陋 冗杂 丰盛 顽皮 很贵 挺好用 …
ad,副形词,1,努目 完全 努力 切面 严实 慌忙 明确 仓惶 详细 …
ag,形语素,1,详 笃 睦 奇 洋 裸 渺 忤 虐 黢 怠 峻 悫 鄙 秀 …
an,名形词,1,麻生 猥琐 腐生 困苦 危难 负疚 刚愎 危险 悲苦 …
b,区别词,1,劣等 洲际性 超常规 同一性 年级 非农业 二合一 …
c,连词,0,再者说 倘 只此 或曰 以外 换句话说 虽是 除非 …
d,副词,0,幸免 四顾 绝对 急速 特约 从早 务须 逐行 挨边 …
df,不要,0,不要
dg,副语素,0,俱 辄
e,叹词,0,好哟 嗄 天呀 哎 哇呀 啊哈 嗳 诶 嗬 呜呼 哇塞 …
f,方位词,0,内侧 以来 面部 后侧 面前 沿街 之内 两岸 里 …
g,语素,1,媸 璇 戬 瓴 踔 鳌 撄 絷 膑 遘 醢 槊 胂 鹎 豳 …
h,前接成分,0,非 超低
i,成语,1,绿荫蔽日 振耳欲聋 沧海一粟 一望无边 为尊者讳 …
j,简称略语,1,交警 中低收入 四个现代 经检测 青委 车改 …
k,后接成分,0,型 者 式 们
l,习用语,1,不懂装懂 相聚一刻 由下而上 十字路口 查无此人 …
m,数词,1,九六 十二 半成 戊酉 俩 一二三四五 丙戌 片片 …
mg,数语素,1,寅 巳
mq,数量词,1,半年度 四方面 十付 三色 一口钟 四面 三分钟 …
n,名词,1,男性 娇子 气压 写实性 联立方程 商业智能 寒窗 …
ng,名语素,1,诀 卉 茗 鹊 娃 寨 酊 钬 雹 役 莺 谊 隙 族 鸩 …
nr,人名,1,雍正皇帝 小老弟 唐僧骑 铁娘子 小甜甜 璐 …
nrfg,古近代人名,1,刘备 关羽 张飞 赵云 任弼时 …
nrt,音译人名,1,米尔科 达尼丁 三世 五丁 塞拉 埃克尔斯 贝当 …
ns,地名,1,南明 锡山 拱北 南非 哥里 平北 丹井 佛山 广州 …
nt,机构团体,1,浙江队 中医院 中华网 铁道部 广电部 联想集团 …
nz,其他专名,1,培根 补丁 圣战士 英属 国药准字 …
o,拟声词,0,哈喇 咝 哗喇 咔喳 飕 哇哇 喃 咕隆 咿呀 唧咕 …
p,介词,0,顺当 顺着 借了 连着 乘着 除了 较之于 根 自 …
q,量词,0,毫厘 盅 封 千瓦小时 立方米 盎 座 毫克 张 斛 …
r,代词,0,该车 这时 那些 甚么 鄙人 此案 睿智者 他 怎生 …
rg,代语素,0,兹
rr,代词,0,偺们 妳们 其他人
rz,代词,0,这位
s,处所词,1,世外 肩前 舷外 手下 耳边 兜里 盘头 桌边 家外 …
t,时间词,1,新一代 清时 先上去 月初 昔年 无日 唐五代 佳日 …
tg,时间语素,1,昔 晚 春 现 暮 夕 宵
u,助词,0,则否 等 恁地 等等 似的 来说 矣哉 来看 般 的话 …
ud,得,0,得
ug,过,0,过
uj,的,0,的
ul,了,0,了
uv,地,0,地
uz,着,0,着
v,动词,1,批发 孕育 作成 纳闷儿 遭殃 留话 吻下去 创生 …
vd,副动词,1,狡辩 持续 逆势
vg,动语素,1,悖 谏 踞 泯 濯 掳 诌 疑 诲 吁 囿 酌 蟠 豢 匿 …
vi,动词,1,沉溺于 等同于 沉缅于 徜徉于
vn,名动词,1,审查 相互毗连 销蚀 对联 劳工 漫游 …
vq,动词,1,捱过 唸过 去过 去浄
x,非语素字,1,舭 珑 婪 躅 蕺 蜓 螂 窀 蘅 葜 姆 榍 虺 楂 …
y,语气词,0,吓呆了 呃 呀 兮 哩 呐 嘞 哇 呗 意谓着 也罢 啦 …
z,状态词,0,歪曲 飘飘 慢慢儿 急地 沉迷在 晕呼呼 …
zg,zg,0,鮛 瑑 灘 鄼 緣 嗙 獘 洅 暠 埄 涚 鞞 檺 肸 撻 …
eng,eng,0,嘅 嘞 咯 喽 呢 呗 呀 哩 哇 哉 哟 唻 唷 唳 唰 …
yg,yg,1,嘅 嘞 咯 喽 呢 呗 呀 哩 哇 哉 哟 唻 唷 唳 唰 …